Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
15,Q15,1720364349.050178,1903672,0,1
16,Q16,1720364350.953861,779289,0,1
17,Q17,1720364351.733163,1042949,0,1
18,Q18,1720364352.776124,2774020,0,1
19,Q19,1720364355.550154,153330,0,1
20,Q20,1720364355.703496,1086671,0,1
21,Q21,1720364356.790179,2186499,0,1
22,Q22,1720364358.976690,269397,0,1
1,Q1,1720364359.246099,9945941,0,1
2,Q2,1720364369.192072,784824,0,1
3,Q3,1720364369.976914,1434123,0,1
4,Q4,1720364371.411050,469572,0,1
5,Q5,1720364371.880634,2061389,0,1
6,Q6,1720364373.942036,1682221,0,1
7,Q7,1720364375.624269,2465290,0,1
8,Q8,1720364378.089571,3982024,0,1
9,Q9,1720364382.071607,5275927,0,1
10,Q10,1720364387.347547,816776,0,1
11,Q11,1720364388.164336,235385,0,1
12,Q12,1720364388.399733,1913838,0,1
13,Q13,1720364390.313590,1856443,0,1
14,Q14,1720364392.170045,495799,0,1
15,Q15,1720364392.665856,1893157,0,1
16,Q16,1720364394.559023,770215,0,1
17,Q17,1720364395.329249,1037419,0,1
18,Q18,1720364396.366682,2736209,0,1
19,Q19,1720364399.102905,155359,0,1
20,Q20,1720364399.258277,1083522,0,1
21,Q21,1720364400.341812,2214244,0,1
22,Q22,1720364402.556067,244816,0,1
1,Q1,1720364402.800894,9474602,0,1
2,Q2,1720364412.275507,666229,0,1
3,Q3,1720364412.941747,1081087,0,1
4,Q4,1720364414.022846,433971,0,1
5,Q5,1720364414.456830,2171199,0,1
6,Q6,1720364416.628040,1742275,0,1
7,Q7,1720364418.370328,2442580,0,1
8,Q8,1720364420.812920,3948962,0,1
9,Q9,1720364424.761894,5139561,0,1
10,Q10,1720364429.901466,832572,0,1
11,Q11,1720364430.734049,227945,0,1
12,Q12,1720364430.962006,1811862,0,1
13,Q13,1720364432.773879,1666550,0,1
14,Q14,1720364434.440441,512800,0,1
15,Q15,1720364434.953253,1854060,0,1
16,Q16,1720364436.807331,758402,0,1
17,Q17,1720364437.565745,1068406,0,1
18,Q18,1720364438.634165,2754379,0,1
19,Q19,1720364441.388556,144502,0,1
20,Q20,1720364441.533069,1085884,0,1
21,Q21,1720364442.618966,2238721,0,1
22,Q22,1720364444.857699,245023,0,1
1,Q1,1720364445.102734,9561839,0,1
2,Q2,1720364454.664584,619550,0,1
3,Q3,1720364455.284145,1058330,0,1
4,Q4,1720364456.342487,436096,0,1
5,Q5,1720364456.778595,2017705,0,1
6,Q6,1720364458.796312,1761097,0,1
7,Q7,1720364460.557421,2484481,0,1
8,Q8,1720364463.041913,3863544,0,1
9,Q9,1720364466.905469,5071494,0,1
10,Q10,1720364471.976974,838063,0,1
11,Q11,1720364472.815049,221898,0,1
12,Q12,1720364473.036959,1853115,0,1
13,Q13,1720364474.890086,1876524,0,1
14,Q14,1720364476.766621,484582,0,1
15,Q15,1720364477.251217,1947465,0,1
16,Q16,1720364479.198693,764726,0,1
17,Q17,1720364479.963430,1053525,0,1
18,Q18,1720364481.016977,2808701,0,1
19,Q19,1720364483.825690,118234,0,1
20,Q20,1720364483.943935,1064058,0,1
21,Q21,1720364485.008005,2164098,0,1
22,Q22,1720364487.172115,244037,0,1
1,Q1,1720364487.416163,9516711,0,1
2,Q2,1720364496.932886,637441,0,1
3,Q3,1720364497.570337,1068485,0,1
4,Q4,1720364498.638834,435986,0,1
5,Q5,1720364499.074831,2096043,0,1
6,Q6,1720364501.170886,1743620,0,1
7,Q7,1720364502.914519,2483056,0,1
8,Q8,1720364505.397587,3958486,0,1
9,Q9,1720364509.356087,5097047,0,1
10,Q10,1720364514.453148,818360,0,1
11,Q11,1720364515.271522,236267,0,1
12,Q12,1720364515.507803,1755423,0,1
13,Q13,1720364517.263240,1710596,0,1
14,Q14,1720364518.973851,515803,0,1
15,Q15,1720364519.489668,1924097,0,1
16,Q16,1720364521.413779,772969,0,1
17,Q17,1720364522.186762,1031667,0,1
18,Q18,1720364523.218443,2746657,0,1
19,Q19,1720364525.965114,129049,0,1
20,Q20,1720364526.094177,991577,0,1
21,Q21,1720364527.085768,1994617,0,1
22,Q22,1720364529.080399,269173,0,1
1,Q1,1720364529.349587,10435766,0,1
2,Q2,1720364539.785367,655248,0,1
3,Q3,1720364540.440629,1068050,0,1
4,Q4,1720364541.508692,435862,0,1
5,Q5,1720364541.944569,2068353,0,1
6,Q6,1720364544.012936,1603419,0,1
7,Q7,1720364545.616370,2404125,0,1
8,Q8,1720364548.020509,3906643,0,1
9,Q9,1720364551.927172,5113264,0,1
10,Q10,1720364557.040450,832332,0,1
11,Q11,1720364557.872796,229452,0,1
12,Q12,1720364558.102262,1897016,0,1
13,Q13,1720364559.999291,1795594,0,1
14,Q14,1720364561.794901,490196,0,1
15,Q15,1720364562.285111,1893577,0,1
16,Q16,1720364564.178702,764161,0,1
17,Q17,1720364564.942877,1095974,0,1
18,Q18,1720364566.038866,2774096,0,1
19,Q19,1720364568.812976,146975,0,1
20,Q20,1720364568.959964,1157605,0,1
21,Q21,1720364570.117584,2106699,0,1
22,Q22,1720364572.224298,246125,0,1
1,Q1,1720364572.470436,9490807,0,1
2,Q2,1720364581.961258,643265,0,1
3,Q3,1720364582.604536,1071793,0,1
4,Q4,1720364583.676343,424745,0,1
5,Q5,1720364584.101103,2071718,0,1
6,Q6,1720364586.172836,1725303,0,1
7,Q7,1720364587.898153,2482909,0,1
8,Q8,1720364590.381076,3928533,0,1
9,Q9,1720364594.309623,5258251,0,1
10,Q10,1720364599.567884,846172,0,1
11,Q11,1720364600.414071,228197,0,1
12,Q12,1720364600.642281,1801660,0,1
13,Q13,1720364602.443956,1726541,0,1
14,Q14,1720364604.170511,500245,0,1
15,Q15,1720364604.670770,1877460,0,1
16,Q16,1720364606.548243,757788,0,1
17,Q17,1720364607.306044,1048849,0,1
18,Q18,1720364608.354908,2747715,0,1
19,Q19,1720364611.102638,117840,0,1
20,Q20,1720364611.220493,1046442,0,1
21,Q21,1720364612.266949,2089299,0,1
22,Q22,1720364614.356262,243670,0,1
1,Q1,1720364614.599945,9584076,0,1
2,Q2,1720364624.184037,646179,0,1
3,Q3,1720364624.830229,1125810,0,1
4,Q4,1720364625.956053,436363,0,1
5,Q5,1720364626.392431,2067416,0,1
6,Q6,1720364628.459860,1651774,0,1
