Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
600,0.200,3883.651,3883.651,3883.651,3883.651,3883.651,3883.651,3883.651,3883.651,3883.651,0.000
605,0.200,5105.848,5105.848,5105.848,5105.848,5105.848,5105.848,5105.848,5105.848,5105.848,0.000
610,0.800,1160.194,234.625,823.351,1779.797,1803.004,1803.004,1803.004,1803.004,1803.004,0.001
615,1.000,1408.980,493.637,767.967,1130.825,1888.153,2764.316,2764.316,2764.316,2764.316,0.001
620,0.600,1143.184,180.785,180.785,1108.220,2140.547,2140.547,2140.547,2140.547,2140.547,0.001
625,0.400,5362.922,262.556,262.556,10463.287,10463.287,10463.287,10463.287,10463.287,10463.287,0.000
630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
635,0.800,1056.947,432.877,629.721,1069.059,2096.131,2096.131,2096.131,2096.131,2096.131,0.001
640,0.600,2737.864,1800.075,1800.075,2581.696,3831.820,3831.820,3831.820,3831.820,3831.820,0.000
645,0.200,5083.984,5083.984,5083.984,5083.984,5083.984,5083.984,5083.984,5083.984,5083.984,0.000
650,0.600,970.020,245.184,245.184,769.797,1895.079,1895.079,1895.079,1895.079,1895.079,0.001
655,0.600,1403.316,540.455,540.455,1686.651,1982.842,1982.842,1982.842,1982.842,1982.842,0.001
660,0.600,1532.964,787.518,787.518,1082.079,2729.294,2729.294,2729.294,2729.294,2729.294,0.001
665,1.000,2758.317,133.129,243.510,922.755,2128.139,10364.051,10364.051,10364.051,10364.051,0.000
670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
675,0.400,872.024,660.815,660.815,1083.232,1083.232,1083.232,1083.232,1083.232,1083.232,0.001
680,0.600,1398.597,452.793,452.793,1670.556,2072.443,2072.443,2072.443,2072.443,2072.443,0.001
685,0.400,3196.177,2460.105,2460.105,3932.248,3932.248,3932.248,3932.248,3932.248,3932.248,0.000
690,0.200,5099.895,5099.895,5099.895,5099.895,5099.895,5099.895,5099.895,5099.895,5099.895,0.000
695,0.800,1180.813,216.367,823.142,1820.789,1862.952,1862.952,1862.952,1862.952,1862.952,0.001
700,0.800,1060.482,536.365,763.696,1038.869,1902.999,1902.999,1902.999,1902.999,1902.999,0.001
705,0.800,1530.839,151.789,1112.106,2136.551,2722.910,2722.910,2722.910,2722.910,2722.910,0.001
710,0.400,4942.213,254.915,254.915,9629.510,9629.510,9629.510,9629.510,9629.510,9629.510,0.000
715,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
720,0.800,1059.033,432.174,681.873,1084.054,2038.029,2038.029,2038.029,2038.029,2038.029,0.001
725,0.400,2107.804,1668.491,1668.491,2547.116,2547.116,2547.116,2547.116,2547.116,2547.116,0.000
730,0.400,4510.927,3916.715,3916.715,5105.138,5105.138,5105.138,5105.138,5105.138,5105.138,0.000
735,0.200,882.156,882.156,882.156,882.156,882.156,882.156,882.156,882.156,882.156,0.001
740,1.000,1270.632,223.088,506.874,1772.736,1889.102,1961.362,1961.362,1961.362,1961.362,0.001
745,0.600,1536.139,779.748,779.748,1034.768,2793.902,2793.902,2793.902,2793.902,2793.902,0.001
750,1.000,2620.626,122.716,241.932,1051.360,2183.639,9503.482,9503.482,9503.482,9503.482,0.000
755,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
760,0.400,861.368,654.415,654.415,1068.321,1068.321,1068.321,1068.321,1068.321,1068.321,0.001
765,0.600,1431.980,430.704,430.704,1797.857,2067.379,2067.379,2067.379,2067.379,2067.379,0.001
770,0.400,3210.619,2511.760,2511.760,3909.477,3909.477,3909.477,3909.477,3909.477,3909.477,0.000
775,0.200,5122.341,5122.341,5122.341,5122.341,5122.341,5122.341,5122.341,5122.341,5122.341,0.000
780,0.800,1162.328,224.467,865.286,1700.648,1858.909,1858.909,1858.909,1858.909,1858.909,0.001
785,0.800,1058.962,488.174,792.465,1077.849,1877.359,1877.359,1877.359,1877.359,1877.359,0.001
790,0.800,1510.923,161.876,969.808,2175.123,2736.884,2736.884,2736.884,2736.884,2736.884,0.001
795,0.400,4958.958,242.793,242.793,9675.123,9675.123,9675.123,9675.123,9675.123,9675.123,0.000
800,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
805,0.800,1080.265,472.831,676.276,1062.560,2109.392,2109.392,2109.392,2109.392,2109.392,0.001
810,0.400,2154.325,1760.015,1760.015,2548.634,2548.634,2548.634,2548.634,2548.634,2548.634,0.000
815,0.400,4531.004,3854.043,3854.043,5207.965,5207.965,5207.965,5207.965,5207.965,5207.965,0.000
820,0.200,828.244,828.244,828.244,828.244,828.244,828.244,828.244,828.244,828.244,0.001
825,1.000,1260.695,237.197,530.100,1774.943,1857.564,1903.672,1903.672,1903.672,1903.672,0.001
830,0.600,1532.086,779.289,779.289,1042.949,2774.020,2774.020,2774.020,2774.020,2774.020,0.001
835,1.000,2728.368,153.330,269.397,1086.671,2186.499,9945.941,9945.941,9945.941,9945.941,0.000
840,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
845,0.200,784.824,784.824,784.824,784.824,784.824,784.824,784.824,784.824,784.824,0.001
850,0.800,1411.826,469.572,1434.123,1682.221,2061.389,2061.389,2061.389,2061.389,2061.389,0.001
855,0.400,3223.657,2465.290,2465.290,3982.024,3982.024,3982.024,3982.024,3982.024,3982.024,0.000
860,0.200,5275.927,5275.927,5275.927,5275.927,5275.927,5275.927,5275.927,5275.927,5275.927,0.000
865,0.600,988.666,235.385,235.385,816.776,1913.838,1913.838,1913.838,1913.838,1913.838,0.001
870,0.800,1253.904,495.799,770.215,1856.443,1893.157,1893.157,1893.157,1893.157,1893.157,0.001
875,0.800,1253.127,155.359,1037.419,1083.522,2736.209,2736.209,2736.209,2736.209,2736.209,0.001
880,0.600,3977.887,244.816,244.816,2214.244,9474.602,9474.602,9474.602,9474.602,9474.602,0.000
885,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
890,0.800,1088.122,433.971,666.229,1081.087,2171.199,2171.199,2171.199,2171.199,2171.199,0.001
895,0.400,2092.428,1742.275,1742.275,2442.580,2442.580,2442.580,2442.580,2442.580,2442.580,0.000
900,0.200,3948.962,3948.962,3948.962,3948.962,3948.962,3948.962,3948.962,3948.962,3948.962,0.000
905,0.200,5139.561,5139.561,5139.561,5139.561,5139.561,5139.561,5139.561,5139.561,5139.561,0.000
910,1.000,1010.346,227.945,512.800,832.572,1666.550,1811.862,1811.862,1811.862,1811.862,0.001
915,0.800,1608.812,758.402,1068.406,1854.060,2754.379,2754.379,2754.379,2754.379,2754.379,0.001
920,0.600,1156.369,144.502,144.502,1085.884,2238.721,2238.721,2238.721,2238.721,2238.721,0.001
925,0.400,4903.431,245.023,245.023,9561.839,9561.839,9561.839,9561.839,9561.839,9561.839,0.000
930,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
935,1.000,1178.556,436.096,619.550,1058.330,1761.097,2017.705,2017.705,2017.705,2017.705,0.001
940,0.400,3174.013,2484.481,2484.481,3863.544,3863.544,3863.544,3863.544,3863.544,3863.544,0.000
945,0.200,5071.494,5071.494,5071.494,5071.494,5071.494,5071.494,5071.494,5071.494,5071.494,0.000
950,0.600,971.025,221.898,221.898,838.063,1853.115,1853.115,1853.115,1853.115,1853.115,0.001
955,0.800,1268.324,484.582,764.726,1876.524,1947.465,1947.465,1947.465,1947.465,1947.465,0.001
960,0.800,1261.130,118.234,1053.525,1064.058,2808.701,2808.701,2808.701,2808.701,2808.701,0.001
965,0.600,3974.949,244.037,244.037,2164.098,9516.711,9516.711,9516.711,9516.711,9516.711,0.000
970,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
975,0.800,1059.489,435.986,637.441,1068.485,2096.043,2096.043,2096.043,2096.043,2096.043,0.001
980,0.400,2113.338,1743.620,1743.620,2483.056,2483.056,2483.056,2483.056,2483.056,2483.056,0.000
985,0.400,4527.767,3958.486,3958.486,5097.047,5097.047,5097.047,5097.047,5097.047,5097.047,0.000
990,0.200,818.360,818.360,818.360,818.360,818.360,818.360,818.360,818.360,818.360,0.001
995,1.000,1228.437,236.267,515.803,1710.596,1755.423,1924.097,1924.097,1924.097,1924.097,0.001
1000,0.600,1517.098,772.969,772.969,1031.667,2746.657,2746.657,2746.657,2746.657,2746.657,0.001
1005,1.000,2764.036,129.049,269.173,991.577,1994.617,10435.766,10435.766,10435.766,10435.766,0.000
1010,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1015,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1020,1.000,1166.186,435.862,655.248,1068.050,1603.419,2068.353,2068.353,2068.353,2068.353,0.001
1025,0.400,3155.384,2404.125,2404.125,3906.643,3906.643,3906.643,3906.643,3906.643,3906.643,0.000
1030,0.200,5113.264,5113.264,5113.264,5113.264,5113.264,5113.264,5113.264,5113.264,5113.264,0.000
1035,0.600,986.267,229.452,229.452,832.332,1897.016,1897.016,1897.016,1897.016,1897.016,0.001
1040,0.800,1235.882,490.196,764.161,1795.594,1893.577,1893.577,1893.577,1893.577,1893.577,0.001
1045,0.800,1293.663,146.975,1095.974,1157.605,2774.096,2774.096,2774.096,2774.096,2774.096,0.001
1050,0.600,3947.877,246.125,246.125,2106.699,9490.807,9490.807,9490.807,9490.807,9490.807,0.000
1055,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1060,0.800,1052.880,424.745,643.265,1071.793,2071.718,2071.718,2071.718,2071.718,2071.718,0.001
1065,0.400,2104.106,1725.303,1725.303,2482.909,2482.909,2482.909,2482.909,2482.909,2482.909,0.000
1070,0.400,4593.392,3928.533,3928.533,5258.251,5258.251,5258.251,5258.251,5258.251,5258.251,0.000
1075,0.200,846.172,846.172,846.172,846.172,846.172,846.172,846.172,846.172,846.172,0.001
1080,0.800,1064.161,228.197,500.245,1726.541,1801.660,1801.660,1801.660,1801.660,1801.660,0.001
1085,0.800,1607.953,757.788,1048.849,1877.460,2747.715,2747.715,2747.715,2747.715,2747.715,0.001
1090,1.000,2616.265,117.840,243.670,1046.442,2089.299,9584.076,9584.076,9584.076,9584.076,0.000
1095,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1100,0.200,646.179,646.179,646.179,646.179,646.179,646.179,646.179,646.179,646.179,0.002
1105,0.800,1320.341,436.363,1125.810,1651.774,2067.416,2067.416,2067.416,2067.416,2067.416,0.001
1110,0.400,3182.007,2491.885,2491.885,3872.129,3872.129,3872.129,3872.129,3872.129,3872.129,0.000
1115,0.200,5097.547,5097.547,5097.547,5097.547,5097.547,5097.547,5097.547,5097.547,5097.547,0.000
1120,0.800,1160.855,246.457,856.107,1698.221,1842.636,1842.636,1842.636,1842.636,1842.636,0.001
1125,0.800,1039.062,498.964,785.956,1012.209,1859.120,1859.120,1859.120,1859.120,1859.120,0.001
1130,0.800,1572.064,163.981,1077.810,2215.087,2831.379,2831.379,2831.379,2831.379,2831.379,0.001
1135,0.400,4904.219,244.412,244.412,9564.026,9564.026,9564.026,9564.026,9564.026,9564.026,0.000
1140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1145,0.800,1050.322,432.546,624.227,1070.534,2073.980,2073.980,2073.980,2073.980,2073.980,0.001
1150,0.400,2054.387,1682.269,1682.269,2426.504,2426.504,2426.504,2426.504,2426.504,2426.504,0.000
1155,0.400,4512.129,3858.694,3858.694,5165.564,5165.564,5165.564,5165.564,5165.564,5165.564,0.000
1160,0.400,531.002,224.634,224.634,837.370,837.370,837.370,837.370,837.370,837.370,0.002
1165,0.800,1514.820,514.426,1806.911,1815.907,1922.034,1922.034,1922.034,1922.034,1922.034,0.001
1170,0.600,1525.318,775.478,775.478,1058.341,2742.134,2742.134,2742.134,2742.134,2742.134,0.001
1175,1.000,2607.703,131.143,243.745,1033.802,2163.721,9466.106,9466.106,9466.106,9466.106,0.000
1180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1185,0.400,878.293,654.238,654.238,1102.347,1102.347,1102.347,1102.347,1102.347,1102.347,0.001
1190,0.800,1678.121,436.842,1644.169,2100.108,2531.364,2531.364,2531.364,2531.364,2531.364,0.001
1195,0.200,3909.229,3909.229,3909.229,3909.229,3909.229,3909.229,3909.229,3909.229,3909.229,0.000
1200,0.200,5075.296,5075.296,5075.296,5075.296,5075.296,5075.296,5075.296,5075.296,5075.296,0.000
1205,0.800,1149.578,212.824,776.404,1783.107,1825.978,1825.978,1825.978,1825.978,1825.978,0.001
1210,0.800,1063.569,509.043,762.570,1057.079,1925.585,1925.585,1925.585,1925.585,1925.585,0.001
1215,0.800,1526.554,125.661,1063.910,2177.021,2739.625,2739.625,2739.625,2739.625,2739.625,0.001
1220,0.400,5341.555,241.797,241.797,10441.312,10441.312,10441.312,10441.312,10441.312,10441.312,0.000
1225,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1230,0.800,1055.446,444.612,644.073,1081.570,2051.529,2051.529,2051.529,2051.529,2051.529,0.001
1235,0.400,2058.263,1719.026,1719.026,2397.499,2397.499,2397.499,2397.499,2397.499,2397.499,0.000
1240,0.400,4507.586,3910.893,3910.893,5104.278,5104.278,5104.278,5104.278,5104.278,5104.278,0.000
